Filename,Wave,Strategy,Review Status,Notes
"a-dictionary-of-the-panjabi-language-committee-of-lodiana-mission.md",9,Wave-Based,,
"coins-government-central-museum-thurston-edgar.md",9,Wave-Based,,
"the-punjabi-dictionary-singh-bhai-maya.md",9,Wave-Based,,
"sabdatattwabodha-abhidhana-oriya-etymological-dictionary-pandit-gopinath-nand-sarma.md",9,Wave-Based,,
"the-history-of-the-sikhs-containing-the-lives-of-the-gooroos-m-gregor-william-lewis.md",9,Wave-Based,,
"dictionary-in-oriya-and-english-a-sutton-bhobananund-niaya-alankar.md",9,Wave-Based,,
"epigraphia-carnatica-volume-4-rice-lewis.md",10,Wave-Based,,
"sacred-books-of-the-east-volume-5-pahlavi-texts-part-1-m-ller-f-max.md",10,Wave-Based,,
"brahmi-inscriptions-bhandarkar-d-r.md",10,Wave-Based,,
"imperial-gazetteer-of-india-volume-9-hunter-william-wilson.md",10,Wave-Based,,
"a-summer-in-kashmir-neve-arthur.md",10,Wave-Based,,
"oriental-drawings-brown-percy.md",10,Wave-Based,,
"buddha-gaya-the-hermitage-of-sakya-muni-mitra-rajendralal.md",10,Wave-Based,,
"corpus-inscriptionum-indicarum-volume-1-bhagvanlal-indraji-b-hler-georg.md",10,Wave-Based,,
"a-comparative-grammar-of-the-dravidian-or-south-indian-family-of-languages-caldwell-robert.md",10,Wave-Based,,
"a-personal-narrative-of-a-visit-to-ghuzni-kabul-and-afghanistan-vigne-godfrey-thomas.md",10,Wave-Based,,
"ancient-india-as-described-by-ptolemy-mccrindle-john-watson.md",10,Wave-Based,,
"economic-history-of-india-in-the-victorian-age-dutt-romesh-chunder.md",10,Wave-Based,,
"catalogue-of-indian-coins-in-the-british-museum-rapson-e-j.md",10,Wave-Based,,
"gazetteer-of-upper-burma-and-the-shan-states-scott-james-george.md",10,Wave-Based,,
"sacred-books-of-the-east-volume-21-the-saddharma-pundarika-m-ller-f-max.md",10,Wave-Based,,
"the-lamp-in-the-desert-dell-ethel-m.md",11,Wave-Based,,
"guide-to-the-taj-at-agra-azeezoodeen.md",11,Wave-Based,,
"archaeology-and-monumental-remains-of-delhi-stephen-carr.md",11,Wave-Based,,
"first-report-of-the-curator-of-ancient-monuments-in-india-indian-department-of-archaeology.md",11,Wave-Based,,
"a-dictionary-in-assamese-and-english-miles-bronson.md",11,Wave-Based,,
"kim-kipling-rudyard.md",11,Wave-Based,,
"a-soldier-s-daughter-and-other-stories-g-a-henty.md",11,Wave-Based,,
"brief-vocabulary-in-english-and-assamese-mrs-s-r-ward.md",11,Wave-Based,,
"guide-to-the-buddhist-ruins-of-saranath-sahni-daya-ram.md",11,Wave-Based,,
"atish-e-chinar-sheikh-mohammed-abdullah.md",11,Wave-Based,,
"feringhi-and-other-stories-of-indian-gipsy-life-dumbarton-alfred.md",11,Wave-Based,,
"letters-of-marque-a-novel-kipling-rudyard.md",11,Wave-Based,,
"list-of-christian-tombs-and-monuments-of-archaeological-by-historical-interest-and-their-inscription.md",11,Wave-Based,,
"list-of-inscriptions-on-tombs-or-monuments-in-bengal-possessing-historical-or-archaeological-interes.md",11,Wave-Based,,
"list-of-muhammadan-and-hindu-monuments-vol-1-unknown.md",11,Wave-Based,,
"poems-of-mewar-heinemann-s-o.md",12,Wave-Based,,
"journal-of-the-united-service-institution-of-india-vol-42-united-service-institution-of-india.md",12,Wave-Based,,
"jottings-and-recollections-of-a-bengal-qui-hye-louis-emanuel.md",12,Wave-Based,,
"nitisarah-multiple-authors.md",12,Wave-Based,,
"census-of-india-1901-vol-23-kashmir-pt-1-k-b-m-g-ahmed-khan.md",12,Wave-Based,,
"minutes-of-evidence-taken-by-the-indian-plague-commission-with-appendices-government-of-india.md",12,Wave-Based,,
"a-tour-through-the-famine-districts-of-india-f-h-s-merewether.md",12,Wave-Based,,
"ethnography-castes-and-tribes-baines-jervoise-athelstane.md",12,Wave-Based,,
"gold-sport-coffee-mysore-robert-h-elliot.md",12,Wave-Based,,
"collection-of-treaties-engagements-and-sanads-vol-10-aitchison-c-u.md",12,Wave-Based,,
"intensive-farming-in-india-john-kenny.md",12,Wave-Based,,
"government-of-india-act-1919-unknown.md",12,Wave-Based,,
"gazetteer-of-the-bombay-presidency-unknown.md",12,Wave-Based,,
"bengal-under-the-lieutenant-governors-1854-1898-c-e-buckland.md",12,Wave-Based,,
"census-of-india-1901-india-census-commissioner.md",12,Wave-Based,,
"addresses-and-speeches-relating-to-the-mahomedan-anglo-oriental-college-mohsin-ul-mulk.md",12,Wave-Based,,
"report-of-the-indian-famine-commission-1898-j-b-lyall-j-richardson.md",12,Wave-Based,,
"etiology-and-epidemiology-of-plague-a-summary-of-the-work-of-the-plague-commission-george-lamb-willi.md",12,Wave-Based,,
"the-autobiography-of-an-indian-princess-sunity-devee-maharani-of-cooch-behar.md",12,Wave-Based,,
"journal-of-the-east-india-association-unknown.md",12,Wave-Based,,
"ancient-wings-harindranath-chattopadhyay.md",12,Wave-Based,,
